"ID","Token","Sentence","Document","Repeats","Affected Columns"
"Col:text Row:184","Perk","[Scene: Outside Central Perk, Rachel and Phoebe are about to go inside.]","[Scene: Outside Central Perk, Rachel and Phoebe are about to go inside.]",1,"`text`"
"Col:text Row:184","Rachel","[Scene: Outside Central Perk, Rachel and Phoebe are about to go inside.]","[Scene: Outside Central Perk, Rachel and Phoebe are about to go inside.]",1,"`text`"
"Col:text Row:184","Phoebe","[Scene: Outside Central Perk, Rachel and Phoebe are about to go inside.]","[Scene: Outside Central Perk, Rachel and Phoebe are about to go inside.]",1,"`text`"
"Col:text Row:186","Phoebe","Phoebe, how do you even know who the father is?","What? Hey wait a minute! Phoebe, how do you even know who the father is?",1,"`text`"
"Col:text Row:189","Band","Now you can turn around or you can go in there and rip the Band-Aid off.","Uh-huh. Now you can turn around or you can go in there and rip the Band-Aid off. What to you want to do?",1,"`text`"
"Col:text Row:189","Aid","Now you can turn around or you can go in there and rip the Band-Aid off.","Uh-huh. Now you can turn around or you can go in there and rip the Band-Aid off. What to you want to do?",1,"`text`"
"Col:text Row:192","Phoebe","Oh Phoebe!","Oh Phoebe!",1,"`text`"
"Col:text Row:194","Rach","Hey Rach.","Hey Rach.",1,"`text`"
"Col:speaker Row:194","Tag","Tag Jones","Tag Jones",15,"`speaker`"
"Col:speaker Row:194","Jones","Tag Jones","Tag Jones",15,"`speaker`"
"Col:text Row:195","Banquet","[Scene: The Banquet Room, Ross is taking a picture of a plant, Chandler a fork.","[Scene: The Banquet Room, Ross is taking a picture of a plant, Chandler a fork. The band stops.]",1,"`text`"
"Col:text Row:195","Room","[Scene: The Banquet Room, Ross is taking a picture of a plant, Chandler a fork.","[Scene: The Banquet Room, Ross is taking a picture of a plant, Chandler a fork. The band stops.]",1,"`text`"
"Col:text Row:195","Ross","[Scene: The Banquet Room, Ross is taking a picture of a plant, Chandler a fork.","[Scene: The Banquet Room, Ross is taking a picture of a plant, Chandler a fork. The band stops.]",1,"`text`"
"Col:text Row:195","Chandler","[Scene: The Banquet Room, Ross is taking a picture of a plant, Chandler a fork.","[Scene: The Banquet Room, Ross is taking a picture of a plant, Chandler a fork. The band stops.]",1,"`text`"
"Col:text Row:198","Chandler","(He goes up on stage, mimes like he's giving the speech, and Chandler takes his picture.","(He goes up on stage, mimes like he's giving the speech, and Chandler takes his picture. However, before he gets down everyone starts clinking their glasses for a real speech.)",1,"`text`"
"Col:text Row:199","Buick","Will the owner of a 1995 Buick LeSabre please see the front desk?","Will the owner of a 1995 Buick LeSabre please see the front desk? Your car is about to be towed.",1,"`text`"
"Col:text Row:199","LeSabre","Will the owner of a 1995 Buick LeSabre please see the front desk?","Will the owner of a 1995 Buick LeSabre please see the front desk? Your car is about to be towed.",1,"`text`"
"Col:speaker Row:200","Wedding","Anxious Wedding Guest","Anxious Wedding Guest",4,"`speaker`"
"Col:speaker Row:200","Guest","Anxious Wedding Guest","Anxious Wedding Guest",4,"`speaker`"
"Col:text Row:201","LeSabre","LeSabre?!","A '95 LeSabre?!",1,"`text`"
"Col:text Row:203","LeSabre","A green LeSabre?","A green LeSabre?",1,"`text`"
"Col:text Row:205","LeSabre","I'm sorry, I meant a blue LeSabre.","I'm sorry, I meant a blue LeSabre.",1,"`text`"
