text,speaker,season,episode,scene,utterance
"Umm, it's negative.",Phoebe Buffay,8,1,5,15
What?,Rachel Green,8,1,5,16
It's negative.,Phoebe Buffay,8,1,5,17
"Oh. Oh. Well there you go. Whew! That is-that's great-that is really great-great news. Y'know 'cause the whole not being ready and kinda the financial aspects, all that. Whew. Wow, this is so just the way it was supposed to be. God.",Rachel Green,8,1,5,18
"Well... Well, great.",Monica Geller,8,1,5,19
Here.,Phoebe Buffay,8,1,5,20
Thanks. God this is so stupid! How could I be upset over something I never had? It's negative?,Rachel Green,8,1,5,21
"No, it's positive.",Phoebe Buffay,8,1,5,22
What?!,Rachel Green,8,1,5,23
"It's-it's not negative, it's positive.",Phoebe Buffay,8,1,5,24
Are you sure?,Rachel Green,8,1,5,25
"Well yeah, I lied before.",Phoebe Buffay,8,1,5,26
Oh!,Rachel Green,8,1,5,27
Oh God...,Monica Geller,8,1,5,28
Now you know how you really feel about it.,Phoebe Buffay,8,1,5,29
"Oh-oh, that's a risky little game!",Rachel Green,8,1,5,30
Are you really gonna do this?,Monica Geller,8,1,5,31
Yeah. I'm gonna have a baby. I'm gonna have a baby. I'm gonna have a baby!,Rachel Green,8,1,5,32
With who?,Phoebe Buffay,8,1,5,33
"Ah, it's still not the time.",Rachel Green,8,1,5,34
Dedicated to the People of New York City,Scene Directions,8,1,5,35
"[Scene: The Reception, Joey is helping Ross walk after Gert got through with him and Mona is looking on concerned.]",Scene Directions,8,1,6,1
I just didn't see the fast song coming.,Ross Geller,8,1,6,2
"Shh. Shh. Don't try to talk, we'll get you up to your room, we'll soak your feet, you'll be okay.",Joey Tribbiani,8,1,6,3
"Oh, thank you.",Ross Geller,8,1,6,4
That is so sweet!,Mona,8,1,6,5
Yeah.,Joey Tribbiani,8,1,6,6
"No, I mean it. There are so few genuinely nice guys out there.",Mona,8,1,6,7
"Tell me about it, I feel like I'm holding down the fort all by myself.",Joey Tribbiani,8,1,6,8
It's Joey right?,Mona,8,1,6,9
Yeah.,Joey Tribbiani,8,1,6,10
Wait a minute! No! I'm the nice one! I'm the one who danced with the kids all night! How...How small are your feet?!,Ross Geller,8,1,6,11
