text,speaker,season,episode,scene,utterance
People have got to finish their stories!,Monica Geller,8,2,6,34
"[Scene: The Banquet Room, Ross and Chandler are in their tuxes and have started to fake the pictures.]",Scene Directions,8,2,7,1
"Uh, excuse me? Could you take a picture of us?",Chandler Bing,8,2,7,2
Oh! Of course.,Woman At The Wedding,8,2,7,3
"Uh, would you take one of us?",Man At The Wedding,8,2,7,4
Uhh... Yeah sure. Click!,Chandler Bing,8,2,7,5
It didn't click.,Woman At The Wedding,8,2,7,6
I heard it. I heard it.,Ross Geller,8,2,7,7
But there was no flash.,Man At The Wedding,8,2,7,8
Why won't you take our picture?,Woman At The Wedding,8,2,7,9
"Oh yeah. I'll take, I'll take your picture.",Chandler Bing,8,2,7,10
"Uh, your finger was covering the lens.",Man At The Wedding,8,2,7,11
Who are you? Ansel Adams?! Get outta here!,Chandler Bing,8,2,7,12
"[Scene: Outside Central Perk, Rachel and Phoebe are about to go inside.]",Scene Directions,8,2,8,1
"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him. Go!",Phoebe Buffay,8,2,8,2
"What? Hey wait a minute! Phoebe, how do you even know who the father is?",Rachel Green,8,2,8,3
"I may play the fool at times, but I'm a little more than a pretty blond girl with an ass that won't quit. I believe this belongs to the father of your baby.",Phoebe Buffay,8,2,8,4
"Oh God... Oh, he's in there right now?",Rachel Green,8,2,8,5
Uh-huh. Now you can turn around or you can go in there and rip the Band-Aid off. What to you want to do?,Phoebe Buffay,8,2,8,6
"Uh, let's rip!",Rachel Green,8,2,8,7
Really? Are you sure?,Phoebe Buffay,8,2,8,8
Oh Phoebe!,Rachel Green,8,2,8,9
"Okay, sorry. Yeah.",Phoebe Buffay,8,2,8,10
Hey Rach.,Tag Jones,8,2,8,11
"[Scene: The Banquet Room, Ross is taking a picture of a plant, Chandler a fork. The band stops.]",Scene Directions,8,2,9,1
Why don't you go up on stage. I'll get a picture of you doing the speech.,Chandler Bing,8,2,9,2
Okay. Okay!,Ross Geller,8,2,9,3
"(He goes up on stage, mimes like he's giving the speech, and Chandler takes his picture. However, before he gets down everyone starts clinking their glasses for a real speech.)",Scene Directions,8,2,9,4
Will the owner of a 1995 Buick LeSabre please see the front desk? Your car is about to be towed.,Ross Geller,8,2,9,5
That's my car!,Anxious Wedding Guest,8,2,9,6
A '95 LeSabre?!,Ross Geller,8,2,9,7
Yes!,Anxious Wedding Guest,8,2,9,8
A green LeSabre?,Ross Geller,8,2,9,9
Yes!,Anxious Wedding Guest,8,2,9,10
"I'm sorry, I meant a blue LeSabre.",Ross Geller,8,2,9,11
Yes! Green-blue!,Anxious Wedding Guest,8,2,9,12
Well go! Go move it!,Ross Geller,8,2,9,13
"Okay, you ready for the last picture?",Chandler Bing,8,2,9,14
Yeah.,Ross Geller,8,2,9,15
Get ready to run. Congratulations on your wedding.,Chandler Bing,8,2,9,16
"[Scene: Central Perk, continued from earlier.]",Scene Directions,8,2,10,1
"So, what's this about?",Tag Jones,8,2,10,2
"Rachel has something that she wants to tell you and umm, I believe that this is your red sweater.",Phoebe Buffay,8,2,10,3
No. This is my red sweater.,Tag Jones,8,2,10,4
Oh no. Could I get anyone a coffee or...poison? No? Just for me? Okay.,Phoebe Buffay,8,2,10,5
What's going on Rach?,Tag Jones,8,2,10,6
