text,speaker,season,episode,scene,utterance
"Okay. Okay. Y'know what? If you want to, we can do it one more time. I mean I'd-I'd be okay with that. In fact, I have some time right now.",Ross Geller,8,3,6,13
"Okay, y'know what? Can I, can I talk now?",Rachel Green,8,3,6,14
Oh sure.,Ross Geller,8,3,6,15
"I'm pregnant. Ross? Ross? Okay, whenever you're ready. And you're the father by the way-but you got that...",Rachel Green,8,3,6,16
"[Scene: Ross's Apartment, continued from earlier.]",Scene Directions,8,3,7,1
Can I get you some water?,Rachel Green,8,3,7,2
I'm good. I'm good.,Ross Geller,8,3,7,3
"Ross, there is no pressure on you. Okay? I mean you can as involved as you want.",Rachel Green,8,3,7,4
"Yeah, I need uh... I'm just-I don't know-I don't understand, umm, how this happened? We-we used a condom.",Ross Geller,8,3,7,5
"I know. I know, but y'know condoms only work like 97% of the time.",Rachel Green,8,3,7,6
What? What? What?!! Well they should put that on the box!!!,Ross Geller,8,3,7,7
They do!,Rachel Green,8,3,7,8
No they don't!!! Well they should put it in huge black letters!!!!,Ross Geller,8,3,7,9
Okay Ross come on let's just forget about the condoms.,Rachel Green,8,3,7,10
Oh well I may as well have!,Ross Geller,8,3,7,11
"Listen, y'know what? I was really freaked out too when I found out...",Rachel Green,8,3,7,12
"Freaked out? Hey no, I'm not freaked out! I'm indignant! As a consumer!",Ross Geller,8,3,7,13
"Y'know what? Let's, let's talk later.",Rachel Green,8,3,7,14
"No! No! I want to talk now! Okay? I-In fact, I am going to talk to the president of the condom company!",Ross Geller,8,3,7,15
"Okay, y'know maybe I should come back...",Rachel Green,8,3,7,16
Shh! Shh! Shh!,Ross Geller,8,3,7,17
Okay.,Rachel Green,8,3,7,18
Yeah I'll press 1!,Ross Geller,8,3,7,19
"[Scene: Monica and Chandler's, Mr. Treeger has finished inspecting Monica and Chandler's apartment.]",Scene Directions,8,3,8,1
I've looked everywhere. There's no gas leak.,Mr. Treeger,8,3,8,2
Huh. So then I can heat this up?,Joey Tribbiani,8,3,8,3
"Anyway uh, I'll get moving on that new door.",Mr. Treeger,8,3,8,4
"Oh great! And listen, could you do us a favor and not tell Chandler and Monica about this? 'Cause y'know umm, they don't-they don't have any kids of their own and-and this door was like a child to them.",Phoebe Buffay,8,3,8,5
"Well I'm gonna have to put on a new lock, they'll find out anyway.",Mr. Treeger,8,3,8,6
Oh no.,Phoebe Buffay,8,3,8,7
"Whoa! This looks like an all day job, I'll have to cancel my yoga class. Hey Ross!",Mr. Treeger,8,3,8,8
Hi.,Ross Geller,8,3,8,9
Could you tell Jasmine that I won't make it to yoga class today?,Mr. Treeger,8,3,8,10
Sure.,Ross Geller,8,3,8,11
Namaste.,Mr. Treeger,8,3,8,12
Namaste.,Ross Geller,8,3,8,13
(Treeger leaves and Ross notices the door.),Scene Directions,8,3,8,14
Oh my God! What happened to the door?!,Ross Geller,8,3,8,15
So it's noticeable huh?,Joey Tribbiani,8,3,8,16
"Look, is Rachel here? I really need to talk to her.",Ross Geller,8,3,8,17
Didn't you two already talk?,Phoebe Buffay,8,3,8,18
"Yeah but uh... Okay, okay look you guys know that Rachel and I slept together, but there's something else. Rachel's pregnant.",Ross Geller,8,3,8,19
Oh my God!!! I can't believe that!!,Joey Tribbiani,8,3,8,20
